ID,Street_Address,City,Country,Unit,Type,Parent
38-1,plac Orla,Warsaw,RP,84,Unit,38
38-2,plac Orla,Warsaw,RP,70,Unit,38
38-3,plac Orla,Warsaw,RP,76,Unit,38
38-4,plac Orla,Warsaw,RP,71,Unit,38
39-1,ul. Dworcowa,Warsaw,RP,930,Unit,39
39-2,ul. Dworcowa,Warsaw,RP,940,Unit,39
39-3,ul. Dworcowa,Warsaw,RP,951,Unit,39
40-1,al. Ptasia,Warsaw,RP,63,Unit,40
41-1,aleja Górna,Warsaw,RP,35,Unit,41
42-1,al. Maczka,Warsaw,RP,55,Unit,42
43-1,plac Topolowa,Warsaw,RP,216,Unit,43
43-2,plac Topolowa,Warsaw,RP,238,Unit,43
44-1,ulica Lotnicza,Warsaw,RP,108,Unit,44
44-2,ulica Lotnicza,Warsaw,RP,89,Unit,44
44-3,ulica Lotnicza,Warsaw,RP,84,Unit,44
45-1,ulica Zdrojowa,Warsaw,RP,7,Unit,45
45-2,ulica Zdrojowa,Warsaw,RP,5,Unit,45
45-3,ulica Zdrojowa,Warsaw,RP,22,Unit,45
45-4,ulica Zdrojowa,Warsaw,RP,34,Unit,45
46-1,plac Irysowa,Warsaw,RP,98,Unit,46
46-2,plac Irysowa,Warsaw,RP,94,Unit,46
46-3,plac Irysowa,Warsaw,RP,104,Unit,46
46-4,plac Irysowa,Warsaw,RP,97,Unit,46
47-1,ul. Leszczynowa,Warsaw,RP,207,Unit,47
47-2,ul. Leszczynowa,Warsaw,RP,208,Unit,47
47-3,ul. Leszczynowa,Warsaw,RP,225,Unit,47
48-1,pl. Kruczkowskiego,Warsaw,RP,66,Unit,48
48-2,pl. Kruczkowskiego,Warsaw,RP,75,Unit,48
48-3,pl. Kruczkowskiego,Warsaw,RP,56,Unit,48
48-4,pl. Kruczkowskiego,Warsaw,RP,66,Unit,48
49-1,aleja Mokra,Warsaw,RP,10,Unit,49
49-2,aleja Mokra,Warsaw,RP,21,Unit,49
50-1,aleja Jaworowa,Warsaw,RP,39,Unit,50
51-1,al. Rolna,Warsaw,RP,154,Unit,51
52-1,al. Armii Krajowej,Warsaw,RP,85,Unit,52
52-2,al. Armii Krajowej,Warsaw,RP,93,Unit,52
53-1,aleja Makuszyńskiego,Warsaw,RP,70,Unit,53
53-2,aleja Makuszyńskiego,Warsaw,RP,87,Unit,53
53-3,aleja Makuszyńskiego,Warsaw,RP,78,Unit,53
53-4,aleja Makuszyńskiego,Warsaw,RP,86,Unit,53
54-1,al. Wiązowa,Warsaw,RP,159,Unit,54
54-2,al. Wiązowa,Warsaw,RP,123,Unit,54
55-1,ulica Głogowa,Warsaw,RP,200,Unit,55
55-2,ulica Głogowa,Warsaw,RP,169,Unit,55
55-3,ulica Głogowa,Warsaw,RP,195,Unit,55
55-4,ulica Głogowa,Warsaw,RP,203,Unit,55
56-1,plac Daleka,Warsaw,RP,492,Unit,56
56-2,plac Daleka,Warsaw,RP,496,Unit,56
57-1,ulica Rolnicza,Warsaw,RP,21,Unit,57
58-1,pl. Floriana,Warsaw,RP,31,Unit,58
58-2,pl. Floriana,Warsaw,RP,16,Unit,58
59-1,plac Przemysłowa,Warsaw,RP,548,Unit,59
59-2,plac Przemysłowa,Warsaw,RP,561,Unit,59
59-3,plac Przemysłowa,Warsaw,RP,539,Unit,59
59-4,plac Przemysłowa,Warsaw,RP,537,Unit,59
60-1,pl. Starowiejska,Warsaw,RP,75,Unit,60
60-2,pl. Starowiejska,Warsaw,RP,53,Unit,60
61-1,ulica Truskawkowa,Warsaw,RP,86,Unit,61
61-2,ulica Truskawkowa,Warsaw,RP,77,Unit,61
61-3,ulica Truskawkowa,Warsaw,RP,66,Unit,61
61-4,ulica Truskawkowa,Warsaw,RP,76,Unit,61
62-1,plac Maczka,Warsaw,RP,405,Unit,62
63-1,aleja Wyszyńskiego,Warsaw,RP,1,Unit,63
63-2,aleja Wyszyńskiego,Warsaw,RP,12,Unit,63
63-3,aleja Wyszyńskiego,Warsaw,RP,10,Unit,63
63-4,aleja Wyszyńskiego,Warsaw,RP,5,Unit,63
64-1,al. Jadwigi,Warsaw,RP,131,Unit,64
64-2,al. Jadwigi,Warsaw,RP,136,Unit,64
65-1,ul. Miłosza,Warsaw,RP,87,Unit,65
65-2,ul. Miłosza,Warsaw,RP,92,Unit,65
66-1,aleja Czarnieckiego,Warsaw,RP,867,Unit,66
66-2,aleja Czarnieckiego,Warsaw,RP,892,Unit,66
67-1,aleja Sikorskiego,Warsaw,RP,846,Unit,67
67-2,aleja Sikorskiego,Warsaw,RP,832,Unit,67
67-3,aleja Sikorskiego,Warsaw,RP,811,Unit,67
67-4,aleja Sikorskiego,Warsaw,RP,839,Unit,67
68-1,aleja Długa,Warsaw,RP,23,Unit,68
68-2,aleja Długa,Warsaw,RP,28,Unit,68
68-3,aleja Długa,Warsaw,RP,8,Unit,68
68-4,aleja Długa,Warsaw,RP,18,Unit,68
69-1,ulica Pszenna,Warsaw,RP,76,Unit,69
69-2,ulica Pszenna,Warsaw,RP,86,Unit,69
70-1,aleja Cegielniana,Warsaw,RP,9,Unit,70
70-2,aleja Cegielniana,Warsaw,RP,3,Unit,70
70-3,aleja Cegielniana,Warsaw,RP,29,Unit,70
71-1,aleja Narcyzowa,Warsaw,RP,49,Unit,71
71-2,aleja Narcyzowa,Warsaw,RP,44,Unit,71
71-3,aleja Narcyzowa,Warsaw,RP,78,Unit,71
72-1,pl. Malczewskiego,Warsaw,RP,26,Unit,72
73-1,al. Nowa,Warsaw,RP,72,Unit,73
73-2,al. Nowa,Warsaw,RP,56,Unit,73
74-1,ulica Zwycięstwa,Warsaw,RP,92,Unit,74
74-2,ulica Zwycięstwa,Warsaw,RP,69,Unit,74
74-3,ulica Zwycięstwa,Warsaw,RP,67,Unit,74
75-1,pl. Dolna,Warsaw,RP,53,Unit,75
75-2,pl. Dolna,Warsaw,RP,47,Unit,75
75-3,pl. Dolna,Warsaw,RP,50,Unit,75
75-4,pl. Dolna,Warsaw,RP,52,Unit,75
76-1,aleja Podgórna,Warsaw,RP,114,Unit,76
76-2,aleja Podgórna,Warsaw,RP,105,Unit,76
76-3,aleja Podgórna,Warsaw,RP,99,Unit,76
76-4,aleja Podgórna,Warsaw,RP,123,Unit,76
77-1,ulica Wysoka,Warsaw,RP,53,Unit,77
77-2,ulica Wysoka,Warsaw,RP,57,Unit,77
77-3,ulica Wysoka,Warsaw,RP,35,Unit,77
77-4,ulica Wysoka,Warsaw,RP,37,Unit,77
78-1,ulica Rajska,Warsaw,RP,92,Unit,78
78-2,ulica Rajska,Warsaw,RP,85,Unit,78
78-3,ulica Rajska,Warsaw,RP,91,Unit,78
79-1,pl. Kolonia,Warsaw,RP,563,Unit,79
79-2,pl. Kolonia,Warsaw,RP,588,Unit,79
79-3,pl. Kolonia,Warsaw,RP,582,Unit,79
79-4,pl. Kolonia,Warsaw,RP,568,Unit,79
80-1,ulica Kazimierza Wielkiego,Warsaw,RP,89,Unit,80
80-2,ulica Kazimierza Wielkiego,Warsaw,RP,70,Unit,80
80-3,ulica Kazimierza Wielkiego,Warsaw,RP,98,Unit,80
81-1,ul. Żeromskiego,Warsaw,RP,473,Unit,81
81-2,ul. Żeromskiego,Warsaw,RP,480,Unit,81
81-3,ul. Żeromskiego,Warsaw,RP,472,Unit,81
81-4,ul. Żeromskiego,Warsaw,RP,466,Unit,81
82-1,pl. Makuszyńskiego,Warsaw,RP,5,Unit,82
82-2,pl. Makuszyńskiego,Warsaw,RP,25,Unit,82
82-3,pl. Makuszyńskiego,Warsaw,RP,5,Unit,82
82-4,pl. Makuszyńskiego,Warsaw,RP,5,Unit,82
83-1,plac Jana,Warsaw,RP,731,Unit,83
83-2,plac Jana,Warsaw,RP,737,Unit,83
83-3,plac Jana,Warsaw,RP,750,Unit,83
84-1,aleja Słonecznikowa,Warsaw,RP,913,Unit,84
85-1,ul. Miłosza,Warsaw,RP,112,Unit,85
85-2,ul. Miłosza,Warsaw,RP,103,Unit,85
85-3,ul. Miłosza,Warsaw,RP,84,Unit,85
85-4,ul. Miłosza,Warsaw,RP,105,Unit,85
86-1,al. Szeroka,Warsaw,RP,851,Unit,86
86-2,al. Szeroka,Warsaw,RP,861,Unit,86
87-1,plac Grunwaldzka,Warsaw,RP,46,Unit,87
87-2,plac Grunwaldzka,Warsaw,RP,27,Unit,87
87-3,plac Grunwaldzka,Warsaw,RP,53,Unit,87
88-1,al. Dojazdowa,Warsaw,RP,778,Unit,88
88-2,al. Dojazdowa,Warsaw,RP,760,Unit,88
89-1,ulica Królewska,Warsaw,RP,288,Unit,89
89-2,ulica Królewska,Warsaw,RP,280,Unit,89
90-1,ulica Cedrowa,Warsaw,RP,21,Unit,90
91-1,ulica Traugutta,Warsaw,RP,74,Unit,91
91-2,ulica Traugutta,Warsaw,RP,84,Unit,91
92-1,ulica Okulickiego,Warsaw,RP,49,Unit,92
92-2,ulica Okulickiego,Warsaw,RP,55,Unit,92
92-3,ulica Okulickiego,Warsaw,RP,53,Unit,92
93-1,al. Matejki,Warsaw,RP,733,Unit,93
93-2,al. Matejki,Warsaw,RP,730,Unit,93
94-1,al. Ludowa,Warsaw,RP,393,Unit,94
94-2,al. Ludowa,Warsaw,RP,360,Unit,94
95-1,al. Kosynierów,Warsaw,RP,845,Unit,95
96-1,ul. Kochanowskiego,Warsaw,RP,47,Unit,96
96-2,ul. Kochanowskiego,Warsaw,RP,70,Unit,96
96-3,ul. Kochanowskiego,Warsaw,RP,51,Unit,96
97-1,aleja Armii Krajowej,Warsaw,RP,840,Unit,97
97-2,aleja Armii Krajowej,Warsaw,RP,828,Unit,97
98-1,ulica Górska,Warsaw,RP,45,Unit,98
99-1,ul. Witosa,Warsaw,RP,61,Unit,99
100-1,plac Harcerska,Warsaw,RP,72,Unit,100
101-1,plac Tulipanowa,Warsaw,RP,45,Unit,101
101-2,plac Tulipanowa,Warsaw,RP,53,Unit,101
101-3,plac Tulipanowa,Warsaw,RP,39,Unit,101
102-1,aleja Kołłątaja,Warsaw,RP,28,Unit,102
102-2,aleja Kołłątaja,Warsaw,RP,19,Unit,102
102-3,aleja Kołłątaja,Warsaw,RP,15,Unit,102
103-1,plac Leśna,Warsaw,RP,923,Unit,103
103-2,plac Leśna,Warsaw,RP,934,Unit,103
103-3,plac Leśna,Warsaw,RP,911,Unit,103
103-4,plac Leśna,Warsaw,RP,909,Unit,103
104-1,plac Konopnickiej,Warsaw,RP,127,Unit,104
104-2,plac Konopnickiej,Warsaw,RP,124,Unit,104
104-3,plac Konopnickiej,Warsaw,RP,144,Unit,104
105-1,ulica Księżycowa,Warsaw,RP,939,Unit,105
105-2,ulica Księżycowa,Warsaw,RP,948,Unit,105
106-1,ul. Piwna,Warsaw,RP,150,Unit,106
107-1,ulica Zacisze,Warsaw,RP,820,Unit,107
107-2,ulica Zacisze,Warsaw,RP,811,Unit,107
108-1,ulica Floriana,Warsaw,RP,40,Unit,108
108-2,ulica Floriana,Warsaw,RP,51,Unit,108
108-3,ulica Floriana,Warsaw,RP,47,Unit,108
109-1,pl. Ogrodowa,Warsaw,RP,53,Unit,109
109-2,pl. Ogrodowa,Warsaw,RP,37,Unit,109
110-1,ul. Żytnia,Warsaw,RP,459,Unit,110
110-2,ul. Żytnia,Warsaw,RP,445,Unit,110
110-3,ul. Żytnia,Warsaw,RP,446,Unit,110
111-1,plac Szymanowskiego,Warsaw,RP,59,Unit,111
111-2,plac Szymanowskiego,Warsaw,RP,51,Unit,111
111-3,plac Szymanowskiego,Warsaw,RP,69,Unit,111
112-1,ul. Kolonia,Warsaw,RP,741,Unit,112
112-2,ul. Kolonia,Warsaw,RP,759,Unit,112
112-3,ul. Kolonia,Warsaw,RP,759,Unit,112
113-1,al. Skłodowskiej-Curie,Warsaw,RP,802,Unit,113
113-2,al. Skłodowskiej-Curie,Warsaw,RP,806,Unit,113
113-3,al. Skłodowskiej-Curie,Warsaw,RP,783,Unit,113
113-4,al. Skłodowskiej-Curie,Warsaw,RP,780,Unit,113
114-1,ul. Jesionowa,Warsaw,RP,444,Unit,114
114-2,ul. Jesionowa,Warsaw,RP,444,Unit,114
115-1,ulica Okrzei,Warsaw,RP,360,Unit,115
115-2,ulica Okrzei,Warsaw,RP,348,Unit,115
115-3,ulica Okrzei,Warsaw,RP,383,Unit,115
116-1,plac Owocowa,Warsaw,RP,102,Unit,116
117-1,pl. Turystyczna,Warsaw,RP,63,Unit,117
117-2,pl. Turystyczna,Warsaw,RP,60,Unit,117
117-3,pl. Turystyczna,Warsaw,RP,65,Unit,117
118-1,ulica Krótka,Warsaw,RP,691,Unit,118
118-2,ulica Krótka,Warsaw,RP,704,Unit,118
118-3,ulica Krótka,Warsaw,RP,703,Unit,118
118-4,ulica Krótka,Warsaw,RP,686,Unit,118
119-1,plac Olchowa,Warsaw,RP,855,Unit,119
119-2,plac Olchowa,Warsaw,RP,844,Unit,119
119-3,plac Olchowa,Warsaw,RP,836,Unit,119
120-1,aleja Listopada,Warsaw,RP,64,Unit,120
120-2,aleja Listopada,Warsaw,RP,74,Unit,120
120-3,aleja Listopada,Warsaw,RP,97,Unit,120
121-1,pl. Zbożowa,Warsaw,RP,102,Unit,121
121-2,pl. Zbożowa,Warsaw,RP,96,Unit,121
121-3,pl. Zbożowa,Warsaw,RP,90,Unit,121
122-1,aleja Powstańców Śląskich,Warsaw,RP,31,Unit,122
122-2,aleja Powstańców Śląskich,Warsaw,RP,8,Unit,122
122-3,aleja Powstańców Śląskich,Warsaw,RP,29,Unit,122
123-1,ulica Okrzei,Warsaw,RP,684,Unit,123
123-2,ulica Okrzei,Warsaw,RP,688,Unit,123
124-1,pl. Majowa,Warsaw,RP,42,Unit,124
124-2,pl. Majowa,Warsaw,RP,27,Unit,124
125-1,pl. Kamienna,Warsaw,RP,22,Unit,125
125-2,pl. Kamienna,Warsaw,RP,2,Unit,125
125-3,pl. Kamienna,Warsaw,RP,33,Unit,125
126-1,aleja Świerczewskiego,Warsaw,RP,42,Unit,126
126-2,aleja Świerczewskiego,Warsaw,RP,40,Unit,126
127-1,plac Solidarnosci,Warsaw,RP,39,Unit,127
127-2,plac Solidarnosci,Warsaw,RP,40,Unit,127
127-3,plac Solidarnosci,Warsaw,RP,35,Unit,127
128-1,plac Słowicza,Warsaw,RP,634,Unit,128
128-2,plac Słowicza,Warsaw,RP,629,Unit,128
128-3,plac Słowicza,Warsaw,RP,612,Unit,128
129-1,ulica Konstytucji 3 Maja,Warsaw,RP,425,Unit,129
130-1,ul. Lisia,Warsaw,RP,902,Unit,130
131-1,al. Kościuszki,Warsaw,RP,914,Unit,131
131-2,al. Kościuszki,Warsaw,RP,919,Unit,131
131-3,al. Kościuszki,Warsaw,RP,899,Unit,131
131-4,al. Kościuszki,Warsaw,RP,895,Unit,131
132-1,al. Rolnicza,Warsaw,RP,3,Unit,132
132-2,al. Rolnicza,Warsaw,RP,13,Unit,132
132-3,al. Rolnicza,Warsaw,RP,4,Unit,132
132-4,al. Rolnicza,Warsaw,RP,4,Unit,132
133-1,ulica Mazurska,Warsaw,RP,351,Unit,133
133-2,ulica Mazurska,Warsaw,RP,346,Unit,133
134-1,ulica Wybickiego,Warsaw,RP,69,Unit,134
134-2,ulica Wybickiego,Warsaw,RP,53,Unit,134
134-3,ulica Wybickiego,Warsaw,RP,35,Unit,134
135-1,pl. Okulickiego,Warsaw,RP,512,Unit,135
135-2,pl. Okulickiego,Warsaw,RP,518,Unit,135
135-3,pl. Okulickiego,Warsaw,RP,490,Unit,135
135-4,pl. Okulickiego,Warsaw,RP,494,Unit,135
136-1,ulica Orzeszkowej,Warsaw,RP,285,Unit,136
137-1,ulica Mazurska,Warsaw,RP,755,Unit,137
137-2,ulica Mazurska,Warsaw,RP,766,Unit,137
137-3,ulica Mazurska,Warsaw,RP,758,Unit,137
138-1,pl. Słoneczna,Warsaw,RP,59,Unit,138
138-2,pl. Słoneczna,Warsaw,RP,50,Unit,138
138-3,pl. Słoneczna,Warsaw,RP,83,Unit,138
138-4,pl. Słoneczna,Warsaw,RP,64,Unit,138
139-1,aleja Jaworowa,Warsaw,RP,33,Unit,139
139-2,aleja Jaworowa,Warsaw,RP,27,Unit,139
139-3,aleja Jaworowa,Warsaw,RP,30,Unit,139
140-1,ulica Szymanowskiego,Warsaw,RP,81,Unit,140
140-2,ulica Szymanowskiego,Warsaw,RP,59,Unit,140
140-3,ulica Szymanowskiego,Warsaw,RP,88,Unit,140
140-4,ulica Szymanowskiego,Warsaw,RP,54,Unit,140
141-1,ul. Bolesława Chrobrego,Warsaw,RP,370,Unit,141
141-2,ul. Bolesława Chrobrego,Warsaw,RP,370,Unit,141
141-3,ul. Bolesława Chrobrego,Warsaw,RP,379,Unit,141
141-4,ul. Bolesława Chrobrego,Warsaw,RP,379,Unit,141
142-1,aleja Poprzeczna,Warsaw,RP,67,Unit,142
142-2,aleja Poprzeczna,Warsaw,RP,64,Unit,142
143-1,plac Skargi,Warsaw,RP,28,Unit,143
143-2,plac Skargi,Warsaw,RP,20,Unit,143
143-3,plac Skargi,Warsaw,RP,1,Unit,143
144-1,pl. Mazurska,Warsaw,RP,241,Unit,144
144-2,pl. Mazurska,Warsaw,RP,248,Unit,144
144-3,pl. Mazurska,Warsaw,RP,244,Unit,144
145-1,plac Liliowa,Warsaw,RP,15,Unit,145
145-2,plac Liliowa,Warsaw,RP,29,Unit,145
145-3,plac Liliowa,Warsaw,RP,19,Unit,145
145-4,plac Liliowa,Warsaw,RP,2,Unit,145
146-1,ulica Nałkowskiej,Warsaw,RP,73,Unit,146
146-2,ulica Nałkowskiej,Warsaw,RP,91,Unit,146
147-1,al. Księżycowa,Warsaw,RP,371,Unit,147
147-2,al. Księżycowa,Warsaw,RP,345,Unit,147
147-3,al. Księżycowa,Warsaw,RP,360,Unit,147
148-1,ulica Królewska,Warsaw,RP,45,Unit,148
148-2,ulica Królewska,Warsaw,RP,56,Unit,148
148-3,ulica Królewska,Warsaw,RP,54,Unit,148
149-1,pl. Wojciecha,Warsaw,RP,2,Unit,149
150-1,ulica Jodłowa,Warsaw,RP,81,Unit,150
151-1,pl. Korczaka,Warsaw,RP,70,Unit,151
152-1,plac Koralowa,Warsaw,RP,42,Unit,152
152-2,plac Koralowa,Warsaw,RP,63,Unit,152
153-1,pl. Liliowa,Warsaw,RP,5,Unit,153
154-1,plac Mazowiecka,Warsaw,RP,65,Unit,154
155-1,plac Fredry,Warsaw,RP,97,Unit,155
155-2,plac Fredry,Warsaw,RP,84,Unit,155
155-3,plac Fredry,Warsaw,RP,83,Unit,155
155-4,plac Fredry,Warsaw,RP,81,Unit,155
156-1,ul. Modrzewiowa,Warsaw,RP,61,Unit,156
156-2,ul. Modrzewiowa,Warsaw,RP,80,Unit,156
156-3,ul. Modrzewiowa,Warsaw,RP,62,Unit,156
157-1,aleja Batalionów Chłopskich,Warsaw,RP,90,Unit,157
157-2,aleja Batalionów Chłopskich,Warsaw,RP,107,Unit,157
157-3,aleja Batalionów Chłopskich,Warsaw,RP,112,Unit,157
158-1,aleja Krańcowa,Warsaw,RP,80,Unit,158
158-2,aleja Krańcowa,Warsaw,RP,59,Unit,158
158-3,aleja Krańcowa,Warsaw,RP,56,Unit,158
159-1,al. Jana III Sobieskiego,Warsaw,RP,64,Unit,159
159-2,al. Jana III Sobieskiego,Warsaw,RP,56,Unit,159
159-3,al. Jana III Sobieskiego,Warsaw,RP,35,Unit,159
159-4,al. Jana III Sobieskiego,Warsaw,RP,67,Unit,159
160-1,al. Owocowa,Warsaw,RP,307,Unit,160
160-2,al. Owocowa,Warsaw,RP,334,Unit,160
161-1,ul. Niepodległości,Warsaw,RP,681,Unit,161
161-2,ul. Niepodległości,Warsaw,RP,653,Unit,161
161-3,ul. Niepodległości,Warsaw,RP,667,Unit,161
161-4,ul. Niepodległości,Warsaw,RP,679,Unit,161
162-1,ul. Rzeczna,Warsaw,RP,67,Unit,162
162-2,ul. Rzeczna,Warsaw,RP,49,Unit,162
162-3,ul. Rzeczna,Warsaw,RP,49,Unit,162
162-4,ul. Rzeczna,Warsaw,RP,53,Unit,162
163-1,al. Żeglarska,Warsaw,RP,570,Unit,163
163-2,al. Żeglarska,Warsaw,RP,534,Unit,163
164-1,ulica Jaworowa,Warsaw,RP,453,Unit,164
164-2,ulica Jaworowa,Warsaw,RP,424,Unit,164
164-3,ulica Jaworowa,Warsaw,RP,422,Unit,164
165-1,aleja Czarnieckiego,Warsaw,RP,41,Unit,165
165-2,aleja Czarnieckiego,Warsaw,RP,52,Unit,165
165-3,aleja Czarnieckiego,Warsaw,RP,40,Unit,165
166-1,ulica Kolejowa,Warsaw,RP,936,Unit,166
167-1,plac Reja,Warsaw,RP,64,Unit,167
168-1,plac Asnyka,Warsaw,RP,34,Unit,168
169-1,ulica Dolna,Warsaw,RP,625,Unit,169
170-1,al. Graniczna,Warsaw,RP,39,Unit,170
170-2,al. Graniczna,Warsaw,RP,56,Unit,170
170-3,al. Graniczna,Warsaw,RP,50,Unit,170
171-1,pl. Mokra,Warsaw,RP,34,Unit,171
171-2,pl. Mokra,Warsaw,RP,35,Unit,171
171-3,pl. Mokra,Warsaw,RP,53,Unit,171
172-1,pl. Narcyzowa,Warsaw,RP,72,Unit,172
172-2,pl. Narcyzowa,Warsaw,RP,96,Unit,172
172-3,pl. Narcyzowa,Warsaw,RP,92,Unit,172
173-1,ulica Klonowa,Warsaw,RP,15,Unit,173
173-2,ulica Klonowa,Warsaw,RP,7,Unit,173
173-3,ulica Klonowa,Warsaw,RP,14,Unit,173
173-4,ulica Klonowa,Warsaw,RP,26,Unit,173
174-1,plac Jabłoniowa,Warsaw,RP,89,Unit,174
174-2,plac Jabłoniowa,Warsaw,RP,82,Unit,174
174-3,plac Jabłoniowa,Warsaw,RP,97,Unit,174
174-4,plac Jabłoniowa,Warsaw,RP,106,Unit,174
175-1,ulica Nałkowskiej,Warsaw,RP,70,Unit,175
175-2,ulica Nałkowskiej,Warsaw,RP,97,Unit,175
175-3,ulica Nałkowskiej,Warsaw,RP,74,Unit,175
